 =======================================================================================================================
 Table: Nuclear properties of SLy4d model for B=0 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4118 nuclides (Z = 1~82, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   1   H 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    1         1         2             0.260         10.720          7.960           9.44           0.01            0.4
    1         2         3             4.580          2.470          2.150           2.37           0.00           58.7
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   2   He
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    2         2         4            17.640          2.100          2.090           2.10           0.00           10.0
    2         3         5            18.850          2.750          2.080           2.50           0.31            0.0
    2         4         6            20.200          2.910          2.100           2.67           0.58            0.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   3   Li
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    3         3         6            24.440          2.480          2.460           2.47           0.56            0.0
    3         4         7            31.070          2.660          2.460           2.57           0.71            0.0
    3         5         8            35.260          2.700          2.360           2.57           0.41            0.1
    3         6         9            40.050          2.670          2.270           2.55           0.07           56.7
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   4   Be
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    4         4         8            41.030          2.660          2.650           2.65           0.82            0.0
    4         5         9            47.440          2.640          2.540           2.60           0.53            0.0
    4         6        10            54.820          2.570          2.380           2.50           0.10           57.5
    4         7        11            58.870          2.720          2.390           2.61           0.00           35.8
    4         8        12            63.010          2.820          2.420           2.69           0.00           12.7
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   5   B 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    5         5        10            56.790          2.540          2.520           2.53           0.31            0.2
    5         6        11            68.210          2.520          2.460           2.49           0.10           59.9
    5         7        12            74.830          2.640          2.460           2.57           0.00           55.4
    5         8        13            81.370          2.730          2.480           2.64           0.00           39.9
    5         9        14            81.730          3.110          2.510           2.91           0.23            0.0
    5        10        15            83.630          3.100          2.580           2.94           0.39            0.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   6   C 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    6         6        12            80.380          2.500          2.480           2.49           0.06           60.0
    6         7        13            89.530          2.590          2.510           2.55           0.00           59.9
    6         8        14            98.420          2.680          2.520           2.61           0.00           57.2
    6         9        15           100.420          2.860          2.550           2.74           0.15            0.2
    6        10        16           103.400          2.980          2.590           2.84           0.28            0.0
    6        11        17           106.050          3.050          2.610           2.90           0.29            0.1
    6        12        18           108.560          3.110          2.630           2.96           0.30            3.1
 --------------------------------------------------------------------------------------------------------------------
 
  Z=   7   N 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
    7         7        14            98.880          2.610          2.590           2.60           0.01            0.0
