 =======================================================================================================================
 Table: Nuclear properties of SLy4d model for B=5*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is incomplete table predicting the properties of 915 nuclides (Z = 26~50, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           501.010
   26        31        57           510.520
   26        32        58           518.330
   26        33        59           527.240
   26        34        60           534.880
   26        35        61           543.310
   26        36        62           550.200
   26        37        63           556.220
   26        38        64           561.820
   26        39        65           568.120
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           504.510
   27        31        58           516.450
   27        32        59           524.610
   27        33        60           533.490
   27        34        61           542.590
   27        35        62           550.590
   27        36        63           557.200
   27        37        64           565.330
   27        38        65           571.240
   27        39        66           578.880
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   28        30        58           515.830
   28        31        59           525.740
   28        32        60           534.920
   28        33        61           543.820
   28        34        62           554.030
   28        35        63           562.560
   28        36        64           571.300
   28        37        65           579.490
   28        38        66           586.780
   28        39        67           594.290
   28        40        68           601.450
   28        41        69           606.080
   28        42        70           613.300
   28        43        71           617.310
   28        44        72           624.370
   28        45        73           629.460
   28        46        74           634.190
   28        47        75           640.800
   28        48        76           643.790
   28        49        77           646.810
   28        50        78           650.480
   28        51        79           651.290
   28        52        80           655.310
   28        53        81           658.110
   28        54        82           659.210
   28        55        83           662.740
   28        56        84           662.920
   28        57        85           663.300
   28        58        86           663.900
   28        59        87           665.620
   28        60        88           665.210
   28        61        89           666.300
   28        62        90           665.720
   28        63        91           665.920
   28        64        92           665.690
   28        65        93           665.560
   28        66        94           666.050
   28        67        95           665.090
   28        68        96           665.540
   28        69        97           663.740
   28        70        98           664.360
   28        71        99           667.870
   28        72       100           665.230
   28        73       101           666.680
   28        74       102           663.840
   28        75       103           663.350
   28        76       104           662.170
   28        77       105           661.460
   28        78       106           661.420
   28        79       107           660.710
   28        80       108           660.310
   28        81       109           659.190
   28        82       110           657.620
   28        83       111           658.110
   28        84       112           658.830
   28        85       113           658.010
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   29        40        69           614.660
   29        41        70           620.680
   29        42        71           627.660
   29        43        72           633.210
   29        44        73           640.370
   29        45        74           646.820
   29        46        75           651.250
   29        47        76           658.340
   29        48        77           663.040
   29        49        78           666.700
   29        50        79           668.510
   29        51        80           671.630
   29        52        81           676.050
   29        53        82           678.980
   29        54        83           681.430
   29        55        84           683.470
   29        56        85           684.150
   29        57        86           685.700
   29        58        87           685.020
   29        59        88           687.220
   29        60        89           686.760
   29        61        90           688.260
   29        62        91           686.870
   29        63        92           687.610
   29        64        93           688.490
   29        65        94           688.580
   29        66        95           686.880
   29        67        96           687.600
   29        68        97           687.610
   29        69        98           689.360
   29        70        99           686.730
   29        71       100           689.700
   29        72       101           690.730
   29        73       102           688.970
   29        74       103           689.400
   29        75       104           688.050
   29        76       105           688.110
   29        77       106           687.440
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   30        40        70           624.480
