 =======================================================================================================================
 Table: Nuclear properties of SLy6 model for B=1*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is incomplete table predicting the properties of 216 nuclides (Z = 25~68, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  25   Mn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   25        30        55           471.840          3.730          3.670           3.70           0.14            0.0
   25        31        56           479.420          3.770          3.690           3.73           0.14            7.8
   25        32        57           487.220          3.810          3.700           3.76           0.15           15.2
   25        33        58           493.907          3.840          3.710           3.78           0.13            8.3
   25        34        59           498.880          3.870          3.720           3.81           0.12           59.9
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           481.233          3.730          3.700           3.72           0.13            0.1
   26        31        57           490.063          3.770          3.710           3.75           0.14            9.1
   26        32        58           498.990          3.810          3.730           3.78           0.15           16.0
   26        33        59           505.857          3.840          3.730           3.79           0.13           11.8
   26        34        60           510.850          3.870          3.750           3.82           0.12           59.9
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           487.520          3.730          3.710           3.72           0.11            1.1
   27        31        58           496.540          3.770          3.730           3.75           0.11           19.1
   27        32        59           506.040          3.810          3.750           3.78           0.13           25.6
   27        33        60           513.640          3.840          3.760           3.80           0.11           46.9
   27        34        61           522.550          3.880          3.780           3.83           0.13           59.9
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   28        49        77           627.460          4.190          3.910           4.09           0.00           53.4
   28        50        78           633.320          4.210          3.920           4.11           0.00           54.6
   28        51        79           634.520          4.260          3.930           4.15           0.03           17.8
   28        52        80           636.120          4.310          3.940           4.18           0.06            5.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   29        46        75           626.600          4.170          3.940           4.08           0.10            0.0
   29        47        76           631.177          4.180          3.940           4.09           0.09            0.0
   29        48        77           636.293          4.190          3.950           4.10           0.08            0.1
   29        49        78           639.343          4.200          3.950           4.11           0.01            2.6
   29        50        79           645.650          4.220          3.950           4.12           0.00           59.5
   29        51        80           647.670          4.260          3.960           4.16           0.04           11.8
   29        52        81           651.050          4.310          3.980           4.19           0.08            3.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   30        46        76           641.063          4.180          3.980           4.10           0.12            0.0
   30        47        77           645.087          4.190          3.980           4.11           0.10            0.0
   30        48        78           649.920          4.210          3.980           4.12           0.09            0.1
   30        49        79           652.853          4.210          3.980           4.12           0.05            2.9
   30        50        80           658.407          4.220          3.990           4.13           0.00           60.0
   30        51        81           661.503          4.270          4.000           4.17           0.05           10.9
   30        52        82           666.950          4.310          4.020           4.20           0.09            1.8
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   31        46        77           651.690          4.190          4.010           4.11           0.12            0.0
   31        47        78           657.160          4.200          4.010           4.13           0.11            0.0
   31        48        79           662.840          4.210          4.020           4.14           0.10            0.2
   31        49        80           665.917          4.220          4.010           4.14           0.06            1.4
   31        50        81           670.977          4.230          4.010           4.15           0.00           59.9
   31        51        82           675.160          4.270          4.030           4.18           0.06            7.1
   31        52        83           680.973          4.310          4.050           4.21           0.10            2.3
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   32        46        78           662.303          4.190          4.040           4.13           0.12            0.0
   32        47        79           668.680          4.210          4.040           4.14           0.11            0.1
   32        48        80           675.220          4.220          4.040           4.15           0.10            0.2
   32        49        81           678.693          4.230          4.040           4.15           0.06            2.1
   32        50        82           683.587          4.230          4.040           4.16           0.01           59.8
   32        51        83           688.503          4.280          4.060           4.19           0.06           13.4
   32        52        84           694.463          4.310          4.070           4.22           0.10            4.8
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   33        46        79           672.600          4.200          4.060           4.14           0.12            0.0
   33        47        80           679.870          4.210          4.070           4.15           0.11            0.1
   33        48        81           687.280          4.230          4.070           4.16           0.10            0.1
   33        49        82           690.893          4.230          4.070           4.17           0.06            0.6
   33        50        83           695.973          4.240          4.070           4.17           0.01           59.8
   33        51        84           701.190          4.280          4.080           4.20           0.06           20.9
   33        52        85           707.400          4.320          4.100           4.23           0.09            8.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   34        46        80           682.477          4.200          4.090           4.15           0.11            0.0
   34        47        81           690.380          4.220          4.090           4.16           0.10            0.0
   34        48        82           698.567          4.230          4.100           4.18           0.10            0.1
   34        49        83           702.320          4.240          4.090           4.18           0.06            0.5
   34        50        84           708.113          4.250          4.090           4.19           0.00           52.2
   34        51        85           713.630          4.280          4.110           4.21           0.05           33.6
   34        52        86           719.933          4.320          4.120           4.24           0.09            7.4
   34        82       116           776.360          4.930          4.420           4.78           0.00           59.8
   34        83       117           775.080          5.050          4.420           4.88           0.00           21.2
   34        84       118           773.723          5.110          4.420           4.92           0.04           15.5
   34        85       119           772.700          5.220          4.420           5.01           0.04           44.7
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  35   Br
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   35        46        81           690.667          4.210          4.110           4.17           0.11            0.0
   35        47        82           698.870          4.220          4.120           4.18           0.10            0.0
   35        48        83           707.863          4.240          4.120           4.19           0.09            0.1
   35        49        84           712.877          4.240          4.120           4.19           0.05            1.5
   35        50        85           720.050          4.250          4.120           4.20           0.00           53.8
   35        51        86           725.740          4.290          4.130           4.22           0.05           42.0
   35        52        87           731.820          4.320          4.140           4.25           0.08           13.4
   35        82       117           801.860          4.920          4.430           4.78           0.00           59.4
   35        83       118           800.600          5.040          4.430           4.87           0.01            0.3
   35        84       119           799.280          5.080          4.440           4.90           0.04           13.1
   35        85       120           798.320          5.190          4.440           4.98           0.04           37.8
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  36   Kr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   36        46        82           697.973          4.210          4.140           4.18           0.10            0.1
   36        47        83           706.897          4.230          4.140           4.19           0.09            0.1
   36        48        84           716.553          4.240          4.140           4.20           0.08            0.1
