 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4559 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           488.000          3.700          3.700           3.70           0.13            0.2
   26        31        57           496.125          3.800          3.700           3.72           0.12           16.7
   26        32        58           504.600          3.800          3.700           3.76           0.14           19.9
   26        33        59           511.350          3.900          3.700           3.80           0.17           15.3
   26        34        60           517.715          3.900          3.800           3.85           0.21           11.8
   26        35        61           524.490          3.900          3.800           3.87           0.20            5.6
   26        36        62           530.595          4.000          3.800           3.91           0.23            2.1
   26        37        63           537.625          4.000          3.800           3.93           0.23            0.4
   26        38        64           542.270          4.100          3.800           3.97           0.25            2.1
   26        39        65           549.605          4.100          3.800           3.98           0.23            1.8
   26        40        66           554.655          4.100          3.800           4.01           0.23            4.9
   26        41        67           560.045          4.100          3.800           4.02           0.20            8.4
   26        42        68           564.805          4.200          3.900           4.04           0.19            9.3
   26        43        69           569.790          4.200          3.900           4.06           0.18            5.4
   26        44        70           572.790          4.200          3.900           4.10           0.20            4.1
   26        45        71           577.655          4.200          3.900           4.10           0.16            1.2
   26        46        72           580.530          4.300          3.900           4.14           0.19            2.0
   26        47        73           584.060          4.300          3.900           4.16           0.16            3.6
   26        48        74           587.820          4.300          3.900           4.17           0.15            3.8
   26        49        75           590.225          4.300          3.900           4.20           0.15            1.9
   26        50        76           593.090          4.400          3.900           4.24           0.16            2.4
   26        51        77           593.980          4.400          3.900           4.24           0.12           18.6
   26        52        78           595.550          4.500          3.900           4.35           0.12            4.6
   26        53        79           597.045          4.500          3.900           4.31           0.10           19.1
   26        54        80           597.475          4.600          3.900           4.39           0.08            9.7
   26        55        81           599.215          4.600          3.900           4.38           0.08           21.2
   26        56        82           598.725          4.900          3.900           4.60           0.07           10.1
   26        57        83           600.630          4.800          3.900           4.55           0.07            8.6
   26        58        84           599.585          5.100          3.900           4.74           0.07            4.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
