 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=6*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      501.670        3.700        3.700         3.72         0.09         54.4                          
   26   31   57      527.015        3.800        3.700         3.75         0.02         43.2       25.345             
   26   32   58      534.860        3.800        3.700         3.77         0.07         22.8        7.845       33.190
   26   33   59      537.155        3.900        3.700         3.80         0.07          4.3        2.295       10.140
   26   34   60      547.950        3.900        3.800         3.83         0.11         16.2       10.795       13.090
   26   35   61      552.065        3.900        3.800         3.87         0.14          5.4        4.115       14.910
   26   36   62      559.090        4.000        3.800         3.90         0.16          6.1        7.025       11.140
   26   37   63      566.875        4.000        3.800         3.93         0.18          4.7        7.785       14.810
   26   38   64      574.950        4.100        3.800         3.98         0.21          0.3        8.075       15.860
   26   39   65      578.400        4.100        3.800         3.99         0.19         10.3        3.450       11.525
   26   40   66      581.600        4.100        3.900         4.04         0.21          8.1        3.200        6.650
   26   41   67      590.230        4.200        3.900         4.05         0.18         12.3        8.630       11.830
   26   42   68      591.280        4.200        3.900         4.07         0.17         12.8        1.050        9.680
   26   43   69      603.130        4.200        3.900         4.08         0.17          8.5       11.850       12.900
   26   44   70      598.290        4.200        3.900         4.12         0.17          2.3       -4.840        7.010
   26   45   71      609.760        4.300        3.900         4.14         0.16          5.4       11.470        6.630
   26   46   72      609.715        4.300        3.900         4.16         0.14          3.8       -0.045       11.425
   26   47   73      617.905        4.300        3.900         4.18         0.14          7.0        8.190        8.145
   26   48   74      616.630        4.300        3.900         4.20         0.12          1.0       -1.275        6.915
   26   49   75      625.715        4.400        3.900         4.24         0.13         21.3        9.085        7.810
   26   50   76      625.415        4.400        3.900         4.27         0.12          1.5       -0.300        8.785
   26   51   77      620.615        4.500        3.900         4.33         0.11         49.1       -4.800       -5.100
   26   52   78      629.900        4.500        4.000         4.33         0.08         16.6        9.285        4.485
   26   53   79      629.375        4.600        4.000         4.41         0.07         30.0       -0.525        8.760
   26   54   80      630.690        4.600        4.000         4.40         0.04         27.3        1.315        0.790
   26   55   81      635.185        4.600        4.000         4.43         0.01          5.0        4.495        5.810
   26   56   82      634.215        4.700        4.000         4.51         0.02         57.6       -0.970        3.525
   26   57   83      635.365        5.200        4.000         4.85         0.01         49.2        1.150        0.180
   26   58   84      638.265        5.200        4.000         4.86         0.03         50.1        2.900        4.050
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      527.885        3.800        3.800         3.75         0.06         50.0                          
   27   31   58      536.010        3.800        3.700         3.76         0.05         54.4        8.125             
   27   32   59      546.885        3.800        3.700         3.78         0.05         42.3       10.875       19.000
   27   33   60      552.405        3.900        3.800         3.81         0.06         29.5        5.520       16.395
   27   34   61      558.610        3.900        3.800         3.86         0.08         50.6        6.205       11.725
   27   35   62      565.060        3.900        3.800         3.86         0.08         41.3        6.450       12.655
   27   36   63      575.720        4.000        3.800         3.88         0.08         38.8       10.660       17.110
   27   37   64      581.160        4.000        3.800         3.91         0.08         42.8        5.440       16.100
   27   38   65      590.360        4.000        3.800         3.93         0.07         54.8        9.200       14.640
   27   39   66      593.125        4.000        3.800         3.95         0.05         38.8        2.765       11.965
   27   40   67      595.890        4.100        3.800         3.98         0.02          5.0        2.765        5.530
   27   41   68      606.890        4.100        3.900         4.00         0.09         32.4       11.000       13.765
   27   42   69      606.670        4.100        3.900         4.02         0.05          7.5       -0.220       10.780
   27   43   70      617.625        4.200        3.900         4.05         0.11         29.6       10.955       10.735
   27   44   71      621.715        4.200        3.900         4.07         0.08         15.6        4.090       15.045
   27   45   72      629.100        4.200        3.900         4.11         0.12         26.8        7.385       11.475
   27   46   73      631.110        4.200        3.900         4.13         0.09         12.8        2.010        9.395
   27   47   74      629.890        4.300        3.900         4.17         0.12         16.1       -1.220        0.790
   27   48   75      633.165        4.300        3.900         4.19         0.10          3.2        3.275        2.055
   27   49   76      639.875        4.400        3.900         4.21         0.07         40.1        6.710        9.985
   27   50   77      635.050        4.400        4.000         4.22         0.06         39.3       -4.825        1.885
   27   51   78      651.505        4.500        4.000         4.30         0.11         53.5       16.455       11.630
   27   52   79      653.005        4.500        4.000         4.31         0.09         56.2        1.500       17.955
   27   53   80      651.430        4.500        4.000         4.36         0.07         47.5       -1.575       -0.075
   27   54   81      656.680        4.600        4.000         4.37         0.06         52.6        5.250        3.675
   27   55   82      654.670        4.600        4.000         4.41         0.02          7.7       -2.010        3.240
   27   56   83      662.715        4.700        4.000         4.45         0.03         48.6        8.045        6.035
   27   57   84      659.130        5.200        4.000         4.83         0.02          9.6       -3.585        4.460
   27   58   85      666.235        5.200        4.000         4.84         0.02         55.2        7.105        3.520
   27   59   86      663.490        5.400        4.000         5.01         0.02         58.9       -2.745        4.360
   27   60   87      666.610        5.500        4.000         5.04         0.05         53.8        3.120        0.375
   27   61   88      663.635        5.700        4.000         5.20         0.04         36.5       -2.975        0.145
   27   62   89      659.600        5.700        4.000         5.21         0.05         54.2       -4.035       -7.010
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   30   58      537.510        3.800        3.800         3.76         0.06         52.1                          
   28   31   59      543.440        3.800        3.800         3.78         0.03         56.5        5.930             
   28   32   60      540.170        3.800        3.800         3.80         0.03         53.0       -3.270        2.660
   28   33   61      563.560        3.900        3.800         3.82         0.06         54.5       23.390       20.120
   28   34   62      570.085        3.900        3.800         3.85         0.06         38.2        6.525       29.915
   28   35   63      578.425        3.900        3.800         3.87         0.07         53.6        8.340       14.865
   28   36   64      585.690        4.000        3.800         3.89         0.07         46.1        7.265       15.605
   28   37   65      593.420        4.000        3.800         3.92         0.07         53.4        7.730       14.995
   28   38   66      599.935        4.000        3.800         3.94         0.06         56.6        6.515       14.245
   28   39   67      608.645        4.000        3.900         3.96         0.04         49.6        8.710       15.225
   28   40   68      613.205        4.100        3.900         3.98         0.01         16.1        4.560       13.270
   28   41   69      621.050        4.100        3.900         4.00         0.07         51.5        7.845       12.405
   28   42   70      624.210        4.100        3.900         4.02         0.04         37.6        3.160       11.005
   28   43   71      631.005        4.200        3.900         4.05         0.09         41.6        6.795        9.955
   28   44   72      638.455        4.200        3.900         4.07         0.06         30.6        7.450       14.245
   28   45   73      636.945        4.200        3.900         4.10         0.10         38.3       -1.510        5.940
   28   46   74      646.090        4.200        3.900         4.12         0.07         29.9        9.145        7.635
   28   47   75      649.525        4.300        3.900         4.15         0.09         34.9        3.435       12.580
   28   48   76      656.770        4.300        4.000         4.16         0.06          7.5        7.245       10.680
   28   49   77      658.705        4.300        4.000         4.17         0.03         22.3        1.935        9.180
   28   50   78      663.055        4.300        4.000         4.21         0.07         59.5        4.350        6.285
   28   51   79      663.310        4.400        4.000         4.27         0.08         50.7        0.255        4.605
   28   52   80      667.165        4.500        4.000         4.30         0.08         56.4        3.855        4.110
   28   53   81      674.265        4.500        4.000         4.33         0.06         52.7        7.100       10.955
   28   54   82      678.185        4.500        4.000         4.35         0.06         56.6        3.920       11.020
   28   55   83      680.805        4.600        4.000         4.39         0.01          9.8        2.620        6.540
   28   56   84      683.040        4.600        4.000         4.41         0.02         59.4        2.235        4.855
   28   57   85      679.515        5.100        4.000         4.80         0.01         20.1       -3.525       -1.290
   28   58   86      685.540        5.200        4.000         4.81         0.02         52.8        6.025        2.500
