 =======================================================================================================================
 Table: Nuclear properties of UNEDF1* model for B=8*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
This is a highly detailed table predicting the properties 3288 nuclides (Z = 26~130, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           488.125          3.700          3.700           3.70           0.13            0.1
   26        31        57           496.525          3.800          3.700           3.73           0.12           13.5
   26        32        58           505.045          3.800          3.700           3.76           0.13           19.5
   26        33        59           511.900          3.800          3.700           3.78           0.11           21.6
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           495.035          3.700          3.700           3.71           0.12            0.5
   27        31        58           504.240          3.800          3.700           3.74           0.11           17.1
   27        32        59           513.415          3.800          3.700           3.77           0.13           23.1
   27        33        60           520.770          3.900          3.700           3.79           0.11           52.0
   27        34        61           529.400          3.900          3.800           3.83           0.13           58.9
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   28        33        61           529.320          3.848          3.762           3.81           0.11           50.9
   28        34        62           538.985          3.891          3.782           3.84           0.13           59.7
   28        35        63           546.670          3.910          3.776           3.85           0.10           58.5
   28        36        64           556.190          3.940          3.782           3.87           0.09           51.7
   28        40        68           584.050          4.063          3.821           3.96           0.00            0.1
   28        50        78           632.885          4.300          3.900           4.18           0.03           58.9
   28        51        79           635.460          4.400          3.900           4.22           0.05           30.3
   28        52        80           638.440          4.400          4.000           4.26           0.08           25.7
   28        53        81           640.595          4.500          4.000           4.30           0.08           44.2
   28        54        82           643.705          4.500          4.000           4.33           0.09           39.6
   28        55        83           645.320          4.500          4.000           4.36           0.08           55.4
   28        56        84           647.835          4.600          4.000           4.40           0.08           59.9
   28        57        85           649.040          4.700          4.000           4.44           0.10           56.8
   28        58        86           648.985          4.700          4.000           4.49           0.14           57.0
   28        59        87           653.680          4.700          4.000           4.50           0.02           44.5
   28        60        88           654.450          4.800          4.000           4.54           0.06           42.3
   28        61        89           656.415          4.800          4.000           4.58           0.03           50.9
   28        62        90           655.545          4.800          4.000           4.60           0.08           59.6
   28        63        91           657.860          4.900          4.000           4.65           0.03           51.9
   28        64        92           658.025          4.900          4.000           4.68           0.05           52.9
   28        65        93           658.010          5.000          4.100           4.70           0.05           58.0
   28        66        94           658.010          5.000          4.100           4.73           0.05           57.5
   28        67        95           658.345          5.000          4.100           4.75           0.04           49.1
   28        68        96           658.510          5.000          4.100           4.77           0.03           37.7
   28        69        97           658.040          5.000          4.100           4.79           0.01            0.2
   28        70        98           658.480          5.100          4.100           4.82           0.00            0.6
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   29        50        79           648.775          4.300          4.000           4.18           0.02           58.6
   29        51        80           651.570          4.300          4.000           4.22           0.05           31.4
   29        52        81           654.600          4.400          4.000           4.25           0.08           23.9
   29        53        82           657.855          4.500          4.000           4.29           0.09           36.3
   29        54        83           660.570          4.500          4.000           4.32           0.09           35.1
   29        55        84           663.310          4.500          4.000           4.35           0.08           57.3
   29        56        85           666.190          4.600          4.000           4.38           0.08           59.3
   29        57        86           667.310          4.600          4.000           4.43           0.11           55.8
   29        58        87           668.090          4.700          4.100           4.48           0.15           59.5
   29        59        88           672.275          4.700          4.000           4.48           0.04           37.8
   29        60        89           672.815          4.700          4.000           4.52           0.09           40.7
   29        61        90           674.735          4.800          4.000           4.55           0.06           59.4
   29        62        91           675.480          4.800          4.100           4.58           0.09           59.5
   29        63        92           677.435          4.900          4.000           4.62           0.04           42.0
   29        64        93           677.930          4.900          4.100           4.65           0.06           44.9
   29        65        94           678.695          4.900          4.100           4.68           0.05           59.8
   29        66        95           679.055          5.000          4.100           4.70           0.05           59.7
   29        67        96           678.860          5.000          4.100           4.73           0.04           51.5
   29        68        97           679.320          5.000          4.100           4.75           0.03           32.6
   29        69        98           679.505          5.000          4.200           4.77           0.01            0.2
   29        70        99           680.635          5.000          4.200           4.79           0.00            2.6
   29        71       100           680.170          5.100          4.200           4.87           0.00           17.3
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   30        50        80           662.900          4.300          4.000           4.18           0.02           59.6
   30        51        81           667.230          4.300          4.000           4.22           0.06           33.2
   30        52        82           671.045          4.400          4.000           4.25           0.08           22.0
   30        53        83           674.300          4.400          4.000           4.29           0.09           28.1
   30        54        84           677.705          4.500          4.000           4.32           0.10           29.4
   30        55        85           680.685          4.500          4.000           4.34           0.08           58.5
   30        56        86           683.910          4.500          4.000           4.38           0.09           59.2
   30        57        87           685.210          4.600          4.100           4.43           0.12           59.8
   30        58        88           686.935          4.700          4.100           4.47           0.15           59.4
   30        59        89           689.965          4.700          4.000           4.47           0.08           32.4
   30        60        90           691.135          4.700          4.100           4.51           0.11           42.2
   30        61        91           693.720          4.800          4.100           4.53           0.07           58.4
   30        62        92           695.295          4.800          4.100           4.57           0.10           58.7
   30        63        93           696.560          4.800          4.100           4.60           0.08           53.8
   30        64        94           697.120          4.800          4.100           4.63           0.08           45.0
   30        65        95           698.605          4.900          4.100           4.66           0.06           58.8
   30        66        96           699.765          4.900          4.100           4.69           0.06           58.7
   30        67        97           699.655          4.900          4.100           4.71           0.04           53.7
   30        68        98           700.395          5.000          4.200           4.73           0.04           30.7
   30        69        99           700.955          5.000          4.200           4.75           0.01            0.3
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   31        40        71           613.310          4.100          3.900           3.99           0.00           37.5
