 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3x10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3264 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      491.070        3.700        3.700         3.70         0.13          0.1                          
   26   31   57      499.090        3.800        3.700         3.73         0.12         14.6        8.020             
   26   32   58      508.150        3.800        3.700         3.76         0.13         20.2        9.060       17.080
   26   33   59      516.355        3.800        3.700         3.78         0.10         35.1        8.205       17.265
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      497.915        3.700        3.700         3.71         0.12          0.8                          
   27   31   58      507.560        3.800        3.700         3.73         0.11         20.0        9.645             
   27   32   59      516.565        3.800        3.700         3.77         0.13         24.8        9.005       18.650
   27   33   60      525.200        3.900        3.700         3.79         0.11         57.8        8.635       17.640
   27   34   61      533.485        3.900        3.800         3.83         0.13         59.9        8.285       16.920
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   33   61      533.150        3.848        3.760         3.81         0.12         59.7                          
   28   34   62      542.600        3.890        3.779         3.84         0.13         60.0        9.450             
   28   35   63      550.810        3.910        3.774         3.85         0.10         60.0        8.210       17.660
   28   36   64      558.840        3.940        3.781         3.87         0.09         49.1        8.030       16.240
   28   40   68      589.470        4.061        3.817         3.96         0.00          0.7                          
   28   50   78      637.670        4.300        3.900         4.18         0.04         60.0                          
   28   51   79      640.555        4.400        3.900         4.22         0.05         36.1        2.885             
   28   52   80      643.040        4.400        3.900         4.26         0.08         27.2        2.485        5.370
