 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4553 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           496.210          3.700          3.700           3.70           0.10            0.3
   26        31        57           504.325          3.700          3.700           3.70           0.03            7.8
   26        32        58           512.090          3.800          3.700           3.75           0.11           26.7
   26        33        59           520.465          3.800          3.700           3.77           0.09           14.5
   26        34        60           525.890          3.900          3.700           3.81           0.13            8.0
   26        35        61           534.295          3.900          3.700           3.84           0.13            2.9
   26        36        62           536.690          4.000          3.800           3.88           0.18            1.7
   26        37        63           546.720          4.000          3.800           3.91           0.18            0.4
   26        38        64           552.305          4.000          3.800           3.94           0.21            0.2
   26        39        65           556.435          4.100          3.800           3.96           0.19            4.1
   26        40        66           563.210          4.100          3.800           3.98           0.18            4.1
   26        41        67           568.775          4.100          3.800           4.00           0.16            7.3
   26        42        68           574.910          4.100          3.800           4.03           0.17            6.7
   26        43        69           579.285          4.200          3.800           4.04           0.13            1.5
   26        44        70           582.355          4.200          3.900           4.08           0.15            1.7
   26        45        71           586.780          4.200          3.900           4.09           0.13            0.3
   26        46        72           590.100          4.300          3.900           4.12           0.14            0.9
   26        47        73           594.585          4.300          3.900           4.14           0.13            0.5
   26        48        74           597.525          4.300          3.900           4.16           0.12            0.4
   26        49        75           600.435          4.400          3.900           4.20           0.12            6.2
   26        50        76           602.640          4.400          3.900           4.22           0.12            2.8
   26        51        77           601.775          4.400          3.900           4.26           0.09           27.1
   26        52        78           607.920          4.400          3.900           4.27           0.09            3.3
   26        53        79           608.750          4.500          3.900           4.34           0.06           12.3
   26        54        80           611.430          4.600          3.900           4.36           0.05            7.4
   26        55        81           611.165          4.600          3.900           4.39           0.03            4.6
   26        56        82           615.400          4.600          3.900           4.40           0.02            2.1
   26        57        83           615.580          4.900          3.900           4.63           0.01           18.3
   26        58        84           616.060          4.900          3.900           4.61           0.04            6.5
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           501.900          3.700          3.700           3.71           0.07           25.2
   27        31        58           512.210          3.800          3.700           3.73           0.07           20.6
   27        32        59           520.770          3.800          3.700           3.77           0.11           28.3
   27        33        60           529.980          3.800          3.700           3.79           0.08           31.9
   27        34        61           537.755          3.900          3.800           3.83           0.12           57.0
   27        35        62           544.840          3.900          3.800           3.84           0.08           52.0
   27        36        63           551.335          3.900          3.800           3.86           0.08           42.2
   27        37        64           559.095          4.000          3.800           3.88           0.07           37.9
   27        38        65           567.120          4.000          3.800           3.91           0.06           59.6
   27        39        66           573.790          4.000          3.800           3.93           0.03            0.3
   27        40        67           579.980          4.000          3.800           3.95           0.00            0.8
   27        41        68           584.135          4.100          3.800           3.97           0.05            3.5
   27        42        69           590.240          4.100          3.800           4.00           0.04            7.0
