 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      491.760        3.700        3.700         3.70         0.13          0.2                          
   26   31   57      500.445        3.800        3.700         3.72         0.12         16.7        8.685             
   26   32   58      509.240        3.800        3.700         3.76         0.14         19.9        8.795       17.480
   26   33   59      516.450        3.900        3.700         3.80         0.17         15.3        7.210       16.005
   26   34   60      523.800        3.900        3.800         3.85         0.21         11.8        7.350       14.560
   26   35   61      531.145        3.900        3.800         3.87         0.20          5.6        7.345       14.695
   26   36   62      538.015        4.000        3.800         3.91         0.23          2.1        6.870       14.215
   26   37   63      544.385        4.000        3.800         3.93         0.23          0.4        6.370       13.240
   26   38   64      550.790        4.100        3.800         3.97         0.25          2.1        6.405       12.775
   26   39   65      556.530        4.100        3.800         3.98         0.23          1.8        5.740       12.145
   26   40   66      562.405        4.100        3.800         4.01         0.23          4.9        5.875       11.615
   26   41   67      566.625        4.100        3.800         4.02         0.20          8.4        4.220       10.095
   26   42   68      570.810        4.200        3.900         4.04         0.19          9.3        4.185        8.405
   26   43   69      575.135        4.200        3.900         4.06         0.18          5.4        4.325        8.510
   26   44   70      580.975        4.200        3.900         4.10         0.20          4.1        5.840       10.165
