 =======================================================================================================================
 Table: Nuclear properties of UNEDF1* model for B=0 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
This is a highly detailed table predicting the properties 3247 nuclides (Z = 26~130, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           490.460          3.700          3.700           3.70           0.12            1.5
   26        31        57           499.250          3.800          3.700           3.73           0.12           15.2
   26        32        58           507.540          3.800          3.700           3.76           0.13           20.7
   26        33        59           515.330          3.900          3.700           3.78           0.11           49.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           497.620          3.700          3.700           3.71           0.11            5.5
   27        31        58           507.220          3.800          3.700           3.74           0.11           21.0
   27        32        59           516.250          3.800          3.700           3.77           0.13           25.4
   27        33        60           524.930          3.900          3.700           3.79           0.11           57.9
   27        34        61           533.290          3.900          3.800           3.83           0.13           60.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   28        32        60           525.170          3.791          3.723           3.76           0.07           60.0
   28        33        61           534.260          3.831          3.738           3.79           0.08           60.0
   28        34        62           243.570          3.868          3.751           3.82           0.08           59.7
   28        35        63           352.130          3.900          3.759           3.84           0.07           59.9
   28        36        64           560.220          3.930          3.767           3.86           0.06           59.8
   28        37        65           568.090          3.959          3.772           3.88           0.02           60.0
   28        38        66           575.600          3.991          3.783           3.90           0.00           55.7
   28        39        67           582.673          4.023          3.795           3.93           0.00           59.3
   28        40        68           589.420          4.054          3.807           3.95           0.00           45.3
   28        50        78           637.230          4.300          3.900           4.20           0.09           60.0
   28        51        79           640.370          4.400          3.900           4.23           0.08           44.2
   28        52        80           643.120          4.400          4.000           4.27           0.10           32.4
   28        53        81           645.890          4.500          4.000           4.30           0.10           37.0
   28        54        82           648.230          4.500          4.000           4.34           0.11           35.1
   28        55        83           650.750          4.600          4.000           4.37           0.10           57.9
   28        56        84           652.790          4.600          4.000           4.41           0.11           58.3
   28        57        85           653.260          4.700          4.000           4.45           0.13           59.4
   28        58        86           653.870          4.700          4.000           4.49           0.15           59.8
   28        59        87           656.710          4.700          4.000           4.51           0.10           44.1
   28        60        88           657.040          4.800          4.000           4.54           0.12           48.1
   28        61        89           659.860          4.800          4.000           4.57           0.08           59.1
   28        62        90           660.180          4.800          4.000           4.60           0.10           59.5
   28        63        91           660.100          4.900          4.100           4.63           0.10           57.8
   28        64        92           659.870          4.900          4.100           4.66           0.10           57.5
   28        65        93           662.840          5.000          4.000           4.70           0.05           58.7
   28        66        94           662.780          5.000          4.100           4.72           0.05           57.7
