 =======================================================================================================================
 Table: Nuclear properties of UNEDF1* model for B=2*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
This is a highly detailed table predicting the properties 3289 nuclides (Z = 26~130, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           487.135          3.700          3.700           3.70           0.13            0.2
   26        31        57           495.385          3.800          3.700           3.73           0.12           14.9
   26        32        58           504.075          3.800          3.700           3.76           0.13           20.5
   26        33        59           510.090          3.800          3.700           3.78           0.10           37.5
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           494.170          3.700          3.700           3.71           0.12            0.9
   27        31        58           503.420          3.800          3.700           3.73           0.11           20.4
   27        32        59           512.680          3.800          3.700           3.77           0.12           25.2
   27        33        60           520.235          3.900          3.700           3.79           0.11           58.1
   27        34        61           529.015          3.900          3.800           3.83           0.13           59.9
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   28        33        61           529.370          3.848          3.759           3.81           0.12           59.9
   28        34        62           539.030          3.890          3.778           3.84           0.13           60.0
   28        35        63           547.580          3.909          3.773           3.85           0.10           60.0
   28        36        64           555.325          3.940          3.780           3.87           0.09           49.8
   28        40        68           585.130          4.061          3.817           3.96           0.00            2.4
   28        50        78           633.140          4.300          3.900           4.18           0.04           60.0
   28        51        79           635.800          4.400          3.900           4.22           0.06           37.0
   28        52        80           638.705          4.400          3.900           4.26           0.08           27.7
   28        53        81           641.190          4.500          4.000           4.29           0.08           39.8
   28        54        82           643.760          4.500          4.000           4.33           0.09           38.9
   28        55        83           646.070          4.500          4.000           4.36           0.09           59.7
   28        56        84           648.590          4.600          4.000           4.40           0.09           59.9
   28        57        85           649.125          4.700          4.000           4.44           0.12           56.5
   28        58        86           649.815          4.700          4.000           4.49           0.15           58.8
   28        59        87           654.345          4.700          4.000           4.50           0.04           47.1
   28        60        88           653.810          4.800          4.000           4.54           0.09           44.6
   28        61        89           656.565          4.800          4.000           4.57           0.05           59.5
   28        62        90           656.250          4.800          4.000           4.60           0.08           59.9
   28        63        91           658.860          4.900          4.000           4.64           0.03           46.9
   28        64        92           658.775          4.900          4.000           4.67           0.05           47.7
   28        65        93           658.930          5.000          4.000           4.70           0.05           59.5
   28        66        94           658.990          5.000          4.100           4.72           0.05           58.9
   28        67        95           658.860          5.000          4.100           4.75           0.03           54.3
   28        68        96           659.140          5.000          4.100           4.77           0.03           47.4
   28        69        97           659.435          5.000          4.100           4.79           0.00            3.4
   28        70        98           660.100          5.100          4.100           4.82           0.00            4.1
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   29        50        79           649.020          4.300          4.000           4.18           0.03           60.0
   29        51        80           652.070          4.300          4.000           4.21           0.06           36.1
   29        52        81           655.385          4.400          4.000           4.25           0.08           25.9
   29        53        82           658.130          4.500          4.000           4.29           0.09           35.3
   29        54        83           661.125          4.500          4.000           4.32           0.09           35.1
   29        55        84           663.650          4.500          4.000           4.35           0.09           59.3
   29        56        85           666.535          4.600          4.000           4.39           0.09           59.8
   29        57        86           667.330          4.600          4.000           4.43           0.12           57.8
   29        58        87           668.740          4.700          4.100           4.48           0.15           59.8
   29        59        88           671.880          4.700          4.000           4.49           0.08           39.5
   29        60        89           672.595          4.700          4.000           4.52           0.11           44.5
   29        61        90           674.990          4.800          4.000           4.55           0.07           59.6
   29        62        91           675.920          4.800          4.100           4.58           0.09           59.9
   29        63        92           676.920          4.800          4.100           4.62           0.07           49.2
   29        64        93           677.755          4.900          4.100           4.65           0.08           45.8
   29        65        94           679.090          4.900          4.100           4.68           0.05           59.6
   29        66        95           679.580          4.900          4.100           4.70           0.05           59.2
   29        67        96           679.520          5.000          4.100           4.72           0.04           54.9
   29        68        97           679.975          5.000          4.100           4.75           0.03           43.2
   29        69        98           680.080          5.000          4.100           4.77           0.00            2.4
   29        70        99           681.070          5.000          4.200           4.79           0.00            2.9
   29        71       100           680.470          5.100          4.200           4.87           0.00            4.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   30        50        80           662.890          4.300          4.000           4.18           0.03           59.8
   30        51        81           666.700          4.300          4.000           4.22           0.06           36.5
   30        52        82           670.925          4.400          4.000           4.25           0.08           24.4
   30        53        83           674.080          4.400          4.000           4.28           0.09           30.7
   30        54        84           677.550          4.500          4.000           4.32           0.10           30.9
   30        55        85           680.145          4.500          4.000           4.35           0.09           57.6
   30        56        86           683.370          4.600          4.000           4.38           0.09           59.2
   30        57        87           684.920          4.600          4.100           4.43           0.13           58.8
   30        58        88           687.020          4.700          4.100           4.47           0.15           59.9
   30        59        89           689.480          4.700          4.100           4.48           0.10           37.3
   30        60        90           691.180          4.700          4.100           4.52           0.12           44.6
   30        61        91           693.035          4.800          4.100           4.53           0.08           58.8
   30        62        92           694.835          4.800          4.100           4.57           0.10           59.8
   30        63        93           695.720          4.800          4.100           4.60           0.09           53.7
   30        64        94           696.450          4.800          4.100           4.63           0.09           51.8
   30        65        95           698.375          4.900          4.100           4.66           0.06           59.4
   30        66        96           699.320          4.900          4.100           4.69           0.06           59.2
   30        67        97           699.400          4.900          4.100           4.71           0.04           54.9
   30        68        98           700.095          5.000          4.200           4.73           0.03           40.4
   30        69        99           700.195          5.000          4.200           4.75           0.00            3.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   31        40        71           611.905          4.100          3.900           3.99           0.00            4.5
   31        41        72           618.565          4.100          3.900           4.01           0.03           34.8
   31        42        73           625.925          4.100          3.900           4.04           0.05           23.8
   31        43        74           633.345          4.200          3.900           4.06           0.08            0.5
   31        44        75           641.795          4.200          4.000           4.09           0.10            0.1
   31        45        76           648.490          4.200          4.000           4.11           0.11            0.1
   31        46        77           656.250          4.200          4.000           4.13           0.12            0.1
   31        47        78           661.375          4.200          4.000           4.15           0.10            0.5
   31        48        79           667.380          4.300          4.000           4.16           0.10            1.7
   31        49        80           670.045          4.300          4.000           4.17           0.04           29.5
   31        50        81           676.235          4.300          4.000           4.19           0.03           59.9
   31        51        82           680.810          4.300          4.000           4.22           0.06           36.7
   31        52        83           685.600          4.400          4.000           4.25           0.09           24.3
   31        53        84           689.265          4.400          4.000           4.28           0.09           28.0
   31        54        85           693.285          4.500          4.000           4.32           0.10           28.0
   31        55        86           695.945          4.500          4.000           4.35           0.09           54.5
   31        56        87           699.540          4.500          4.100           4.38           0.10           57.9
   31        57        88           702.025          4.600          4.100           4.42           0.13           59.4
   31        58        89           704.865          4.600          4.100           4.46           0.15           60.0
   31        59        90           707.025          4.700          4.100           4.47           0.11           38.5
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
