 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=5x10^14 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3272 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      490.450        3.700        3.700         3.70         0.12          0.8                          
   26   31   57      499.090        3.800        3.700         3.73         0.12         15.2        8.640             
   26   32   58      507.545        3.800        3.700         3.76         0.13         20.8        8.455       17.095
   26   33   59      515.370        3.800        3.700         3.78         0.10         47.9        7.825       16.280
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      497.620        3.700        3.700         3.71         0.11          3.5                          
   27   31   58      507.220        3.800        3.700         3.74         0.11         21.0        9.600             
   27   32   59      516.260        3.800        3.700         3.77         0.12         25.5        9.040       18.640
   27   33   60      524.955        3.900        3.700         3.79         0.11         58.1        8.695       17.735
   27   34   61      533.295        3.900        3.800         3.83         0.13         60.0        8.340       17.035
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   33   61      533.150        3.847        3.759         3.81         0.12         60.0                          
   28   34   62      542.590        3.889        3.777         3.84         0.13         60.0        9.440             
   28   35   63      550.770        3.909        3.772         3.85         0.10         59.8        8.180       17.620
   28   36   64      558.820        3.939        3.779         3.87         0.09         49.8        8.050       16.230
   28   40   68      589.650        4.061        3.816         3.96         0.00          6.7                          
   28   50   78      637.295        4.300        3.900         4.20         0.08         60.0                          
   28   51   79      640.460        4.400        3.900         4.22         0.07         42.6        3.165             
   28   52   80      643.200        4.400        4.000         4.26         0.09         31.2        2.740        5.905
   28   53   81      645.955        4.500        4.000         4.30         0.09         37.7        2.755        5.495
   28   54   82      648.320        4.500        4.000         4.33         0.10         36.2        2.365        5.120
   28   55   83      650.750        4.600        4.000         4.37         0.10         59.0        2.430        4.795
   28   56   84      652.810        4.600        4.000         4.40         0.10         59.3        2.060        4.490
   28   57   85      653.255        4.700        4.000         4.45         0.13         58.9        0.445        2.505
   28   58   86      653.860        4.700        4.000         4.49         0.15         59.6        0.605        1.050
   28   59   87      656.955        4.700        4.000         4.50         0.09         43.2        3.095        3.700
   28   60   88      657.105        4.800        4.000         4.54         0.12         47.5        0.150        3.245
   28   61   89      659.955        4.800        4.000         4.57         0.07         59.5        2.850        3.000
   28   62   90      660.215        4.800        4.000         4.60         0.09         59.8        0.260        3.110
   28   63   91      660.395        4.900        4.000         4.63         0.09         55.8        0.180        0.440
   28   64   92      660.025        4.900        4.100         4.66         0.09         55.4       -0.370       -0.190
   28   65   93      662.830        5.000        4.000         4.70         0.05         59.0        2.805        2.435
   28   66   94      662.780        5.000        4.100         4.72         0.05         58.1       -0.050        2.755
   28   67   95      662.710        5.000        4.100         4.75         0.03         56.1       -0.070       -0.120
   28   68   96      662.570        5.000        4.100         4.77         0.03         53.4       -0.140       -0.210
   28   69   97      663.030        5.000        4.100         4.79         0.00         23.9        0.460        0.320
   28   70   98      663.030        5.100        4.100         4.82         0.00          6.3                     0.460
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   29   50   79      654.640        4.300        4.000         4.19         0.06         60.0                          
   29   51   80      658.055        4.400        4.000         4.22         0.07         40.3        3.415             
   29   52   81      661.185        4.400        4.000         4.26         0.09         28.6        3.130        6.545
   29   53   82      664.175        4.500        4.000         4.29         0.09         34.5        2.990        6.120
   29   54   83      666.795        4.500        4.000         4.33         0.10         33.4        2.620        5.610
   29   55   84      669.520        4.500        4.000         4.36         0.10         57.3        2.725        5.345
   29   56   85      671.835        4.600        4.000         4.39         0.10         58.4        2.315        5.040
   29   57   86      672.770        4.600        4.000         4.44         0.13         59.4        0.935        3.250
   29   58   87      673.845        4.700        4.100         4.48         0.15         59.9        1.075        2.010
   29   59   88      676.570        4.700        4.000         4.49         0.11         42.6        2.725        3.800
   29   60   89      677.490        4.700        4.100         4.53         0.12         47.1        0.920        3.645
   29   61   90      680.190        4.800        4.000         4.55         0.07         59.1        2.700        3.620
   29   62   91      680.945        4.800        4.100         4.58         0.10         59.6        0.755        3.455
   29   63   92      681.290        4.800        4.100         4.61         0.10         57.2        0.345        1.100
   29   64   93      681.430        4.900        4.100         4.64         0.10         56.6        0.140        0.485
   29   65   94      684.190        4.900        4.100         4.68         0.05         58.9        2.760        2.900
   29   66   95      684.490        4.900        4.100         4.70         0.05         58.2        0.300        3.060
   29   67   96      684.720        5.000        4.100         4.72         0.04         56.2        0.230        0.530
   29   68   97      684.880        5.000        4.100         4.75         0.03         51.5        0.160        0.390
   29   69   98      685.640        5.000        4.100         4.77         0.00         24.1        0.760        0.920
   29   70   99      685.960        5.000        4.200         4.79         0.00          4.1        0.320        1.080
   29   71  100      685.315        5.100        4.200         4.87         0.01          1.2       -0.645       -0.325
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   30   50   80      671.085        4.300        4.000         4.19         0.06         60.0                          
   30   51   81      674.520        4.300        4.000         4.22         0.07         38.9        3.435             
   30   52   82      678.030        4.400        4.000         4.25         0.09         26.4        3.510        6.945
   30   53   83      681.325        4.400        4.000         4.29         0.10         31.0        3.295        6.805
   30   54   84      684.240        4.500        4.000         4.32         0.11         30.1        2.915        6.210
   30   55   85      687.180        4.500        4.000         4.35         0.10         52.8        2.940        5.855
   30   56   86      689.700        4.600        4.000         4.39         0.11         55.6        2.520        5.460
   30   57   87      691.330        4.600        4.100         4.43         0.13         59.5        1.630        4.150
   30   58   88      692.910        4.700        4.100         4.47         0.15         59.9        1.580        3.210
   30   59   89      695.580        4.700        4.100         4.48         0.11         40.7        2.670        4.250
   30   60   90      697.000        4.700        4.100         4.52         0.13         46.2        1.420        4.090
   30   61   91      699.450        4.800        4.100         4.54         0.08         57.0        2.450        3.870
   30   62   92      700.820        4.800        4.100         4.57         0.10         58.9        1.370        3.820
   30   63   93      701.535        4.800        4.100         4.60         0.10         57.7        0.715        2.085
   30   64   94      702.090        4.800        4.100         4.62         0.10         57.7        0.555        1.270
   30   65   95      704.680        4.900        4.100         4.66         0.06         58.3        2.590        3.145
   30   66   96      705.390        4.900        4.100         4.69         0.06         58.0        0.710        3.300
   30   67   97      705.910        4.900        4.100         4.71         0.04         56.2        0.520        1.230
   30   68   98      706.410        5.000        4.200         4.73         0.03         50.3        0.500        1.020
   30   69   99      707.460        5.000        4.200         4.75         0.00         22.0        1.050        1.550
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   31   40   71      620.215        4.100        3.900         3.99         0.00         58.5                          
   31   41   72      627.495        4.100        3.900         4.01         0.02         23.4        7.280             
   31   42   73      634.515        4.100        3.900         4.04         0.05         12.4        7.020       14.300
   31   43   74      642.370        4.100        3.900         4.06         0.08          1.2        7.855       14.875
   31   44   75      649.580        4.200        4.000         4.09         0.10          0.3        7.210       15.065
   31   45   76      657.010        4.200        4.000         4.11         0.11          0.3        7.430       14.640
   31   46   77      663.650        4.200        4.000         4.13         0.12          0.4        6.640       14.070
   31   47   78      669.900        4.200        4.000         4.15         0.10          1.9        6.250       12.890
   31   48   79      675.550        4.300        4.000         4.16         0.10          5.3        5.650       11.900
   31   49   80      680.770        4.300        4.000         4.17         0.05         39.8        5.220       10.870
   31   50   81      685.915        4.300        4.000         4.19         0.05         60.0        5.145       10.365
   31   51   82      690.140        4.300        4.000         4.22         0.07         38.6        4.225        9.370
   31   52   83      694.025        4.400        4.000         4.26         0.09         25.8        3.885        8.110
   31   53   84      697.640        4.400        4.000         4.29         0.10         29.2        3.615        7.500
   31   54   85      700.865        4.500        4.000         4.32         0.11         28.1        3.225        6.840
   31   55   86      703.980        4.500        4.000         4.35         0.11         47.5        3.115        6.340
   31   56   87      706.705        4.600        4.100         4.39         0.12         51.3        2.725        5.840
   31   57   88      709.115        4.600        4.100         4.42         0.13         59.6        2.410        5.135
   31   58   89      711.220        4.600        4.100         4.46         0.15         60.0        2.105        4.515
   31   59   90      713.860        4.700        4.100         4.48         0.12         41.2        2.640        4.745
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   32   40   72      628.650        4.100        3.900         4.01         0.00         59.1                          
   32   41   73      636.520        4.100        4.000         4.02         0.02         24.3        7.870             
   32   42   74      644.225        4.100        4.000         4.05         0.05         13.3        7.705       15.575
   32   43   75      652.670        4.100        4.000         4.07         0.08          1.4        8.445       16.150
   32   44   76      660.450        4.200        4.000         4.10         0.10          0.3        7.780       16.225
   32   45   77      668.500        4.200        4.000         4.12         0.11          0.3        8.050       15.830
   32   46   78      675.720        4.200        4.000         4.14         0.11          0.4        7.220       15.270
   32   47   79      682.600        4.200        4.000         4.15         0.10          1.7        6.880       14.100
   32   48   80      688.840        4.300        4.000         4.17         0.10          4.4        6.240       13.120
   32   49   81      694.560        4.300        4.000         4.18         0.05         40.3        5.720       11.960
   32   50   82      700.490        4.300        4.000         4.20         0.05         60.0        5.930       11.650
   32   51   83      704.840        4.300        4.000         4.22         0.07         39.0        4.350       10.280
   32   52   84      709.110        4.400        4.000         4.26         0.09         26.3        4.270        8.620
   32   53   85      713.060        4.400        4.100         4.29         0.10         28.7        3.950        8.220
   32   54   86      716.630        4.500        4.100         4.32         0.11         27.2        3.570        7.520
   32   55   87      719.990        4.500        4.100         4.35         0.11         43.7        3.360        6.930
   32   56   88      722.960        4.500        4.100         4.39         0.12         46.9        2.970        6.330
   32   57   89      726.075        4.600        4.100         4.42         0.13         59.8        3.115        6.085
   32   58   90      728.690        4.600        4.200         4.46         0.15         60.0        2.615        5.730
   32   59   91      731.385        4.700        4.100         4.47         0.13         46.3        2.695        5.310
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   33   40   73      636.335        4.100        4.000         4.02         0.00         54.0                          
   33   41   74      644.845        4.100        4.000         4.04         0.02         29.1        8.510             
   33   42   75      653.115        4.100        4.000         4.06         0.05         19.0        8.270       16.780
   33   43   76      662.120        4.200        4.000         4.08         0.07          2.0        9.005       17.275
   33   44   77      670.445        4.200        4.000         4.11         0.10          0.5        8.325       17.330
   33   45   78      679.090        4.200        4.000         4.13         0.10          0.4        8.645       16.970
   33   46   79      686.890        4.200        4.000         4.15         0.11          0.3        7.800       16.445
   33   47   80      694.390        4.200        4.000         4.16         0.10          1.3        7.500       15.300
   33   48   81      701.240        4.300        4.000         4.18         0.09          3.2        6.850       14.350
   33   49   82      707.555        4.300        4.000         4.18         0.04         48.7        6.315       13.165
   33   50   83      713.915        4.300        4.000         4.20         0.04         60.0        6.360       12.675
   33   51   84      718.795        4.300        4.100         4.23         0.06         39.4        4.880       11.240
   33   52   85      723.420        4.400        4.100         4.26         0.08         27.5        4.625        9.505
   33   53   86      727.710        4.400        4.100         4.29         0.09         28.9        4.290        8.915
   33   54   87      731.645        4.500        4.100         4.32         0.11         26.8        3.935        8.225
   33   55   88      735.315        4.500        4.100         4.35         0.11         42.5        3.670        7.605
   33   56   89      738.635        4.500        4.100         4.39         0.13         45.2        3.320        6.990
   33   57   90      742.200        4.600        4.100         4.42         0.13         59.9        3.565        6.885
   33   58   91      745.360        4.600        4.200         4.46         0.15         60.0        3.160        6.725
   33   59   92      748.280        4.600        4.200         4.47         0.14         53.1        2.920        6.080
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   34   40   74      643.190        4.100        4.000         4.03         0.00         54.5                          
   34   41   75      652.330        4.100        4.000         4.05         0.02         27.8        9.140             
